Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
246,Quentin Grimes,24,DAL,SG,4,0,46,5,15,0.333,3,8,0.375,2,7,0.286,0.433,2,2,1,1,5,6,1,1,1,2,6,15,,grimequ01
247,Larry Nance Jr.,32,ATL,PF,1,0,23,6,9,0.667,3,5,0.6,3,4,0.75,0.833,0,0,,3,0,3,4,2,1,1,4,15,,nancela02
248,Ben Simmons,28,BRK,PG,3,3,72,6,12,0.5,0,0,,6,12,0.5,0.5,3,4,0.75,4,13,17,17,2,2,12,14,15,,simmobe01
249,Cody Williams,20,UTA,SG,4,1,90,5,18,0.278,3,12,0.25,2,6,0.333,0.361,2,2,1,2,9,11,4,3,1,4,6,15,,willico04
250,Lonzo Ball,27,CHI,PG,3,0,47,5,14,0.357,4,12,0.333,1,2,0.5,0.5,0,0,,0,8,8,11,0,1,3,4,14,,balllo01
251,Jared Butler,24,WAS,SG,2,0,20,5,10,0.5,1,2,0.5,4,8,0.5,0.55,3,4,0.75,0,1,1,5,2,1,0,2,14,,butleja02
252,Brandon Clarke,28,MEM,PF,4,0,57,6,19,0.316,0,4,0,6,15,0.4,0.316,2,3,0.667,4,11,15,2,2,0,3,6,14,,clarkbr01
253,Spencer Dinwiddie,31,DAL,PG,3,0,44,4,10,0.4,4,9,0.444,0,1,0,0.6,2,4,0.5,0,3,3,3,1,1,2,5,14,,dinwisp01
254,Bruno Fernando,26,TOR,C,3,0,35,5,12,0.417,0,0,,5,12,0.417,0.417,4,4,1,8,8,16,2,1,3,6,9,14,,fernabr01
255,Taylor Hendricks,21,UTA,PF,3,3,75,4,18,0.222,3,12,0.25,1,6,0.167,0.306,3,4,0.75,5,10,15,2,5,4,2,8,14,,hendrita0
256,Jett Howard,21,ORL,SF,4,0,27,5,11,0.455,4,9,0.444,1,2,0.5,0.636,0,0,,1,4,5,1,0,0,0,3,14,,howarje01
257,Dejounte Murray,28,NOP,PG,1,1,30,4,15,0.267,0,3,0,4,12,0.333,0.267,6,7,0.857,0,8,8,10,1,0,1,0,14,,murrade01
258,Blake Wesley,21,SAS,SG,3,0,27,5,12,0.417,1,3,0.333,4,9,0.444,0.458,3,4,0.75,2,1,3,6,0,0,1,1,14,,weslebl01
259,Jaden Hardy,22,DAL,SG,4,0,43,4,12,0.333,3,9,0.333,1,3,0.333,0.458,2,2,1,1,2,3,3,0,1,4,5,13,,hardyja02
260,Haywood Highsmith,28,MIA,SF,2,0,51,6,12,0.5,1,4,0.25,5,8,0.625,0.542,0,1,0,2,7,9,3,4,1,1,4,13,,highsha01
261,Trey Lyles,29,SAC,PF,4,0,65,4,16,0.25,3,13,0.231,1,3,0.333,0.344,2,2,1,1,11,12,3,4,4,1,7,13,,lylestr01
262,KJ Martin,24,PHI,SF,3,1,61,5,7,0.714,1,1,1,4,6,0.667,0.786,2,4,0.5,4,7,11,4,2,1,0,11,13,,martike04
263,Kevin Porter Jr.,24,LAC,SG,3,0,45,5,25,0.2,1,9,0.111,4,16,0.25,0.22,2,2,1,2,4,6,6,3,0,6,6,13,,porteke02
