Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
86,Julian Champagnie,SF,21,SAS,9,1,16.4,2.4,5.4,0.449,1.3,3.7,0.364,1.1,1.8,0.625,0.571,0.1,0.1,1,0.3,2.3,2.7,0.3,0,0.4,0.6,1.7,6.3
87,Justin Champagnie,SF,21,TOR,3,0,3.7,1,1,1,0,0,,1,1,1,1,0,0,,0.3,1,1.3,0.3,0,0,0,0.3,2
88,Kennedy Chandler,PG,20,MEM,33,0,8.1,1,2.4,0.418,0.1,0.5,0.133,0.9,1.9,0.484,0.43,0.2,0.4,0.462,0.2,0.8,1.1,1.7,0.4,0.2,0.5,0.5,2.2
89,Max Christie,SG,19,LAL,38,3,13.3,1.2,2.8,0.419,0.7,1.6,0.419,0.5,1.1,0.419,0.543,0.4,0.4,0.875,0.2,1.8,1.9,0.5,0.2,0.2,0.3,0.9,3.4
90,Josh Christopher,SG,21,HOU,59,1,11.6,2.3,4.9,0.465,0.3,1.4,0.25,1.9,3.5,0.548,0.5,0.7,0.9,0.778,0.3,0.8,1.1,1.1,0.5,0.2,0.9,0.9,5.6
91,Brandon Clarke,PF,26,MEM,56,8,19.5,4.1,6.2,0.656,0,0.1,0.167,4.1,6.1,0.665,0.658,1.8,2.4,0.723,1.6,3.9,5.5,1.3,0.6,0.7,1,2.3,10
92,Jordan Clarkson,SG,30,UTA,61,61,32.6,7.5,16.9,0.444,2.5,7.5,0.338,5,9.4,0.53,0.519,3.3,4,0.816,1.2,2.9,4,4.4,0.5,0.2,3,2,20.8
93,Nic Claxton,C,23,BRK,71,71,29.7,5.4,7.7,0.703,0,0,0,5.4,7.7,0.705,0.703,1.7,3.3,0.53,2.4,6.8,9.2,1.8,0.8,2.5,1.3,2.8,12.6
94,Amir Coffey,SG,25,LAC,48,9,12.8,1.1,3,0.38,0.2,0.8,0.263,0.9,2.2,0.423,0.415,1,1.2,0.78,0.4,0.7,1.1,1.1,0.1,0.1,0.4,1,3.4
95,John Collins,PF,25,ATL,66,66,30.1,5.1,10,0.511,0.9,3.3,0.279,4.2,6.7,0.623,0.556,1.9,2.3,0.812,1.1,5.5,6.6,1.2,0.6,1.1,1.1,3.1,13
96,Zach Collins,C,25,SAS,61,24,22.7,4.4,8.5,0.516,0.9,2.3,0.371,3.6,6.2,0.57,0.566,1.7,2.2,0.759,1.8,4.5,6.3,2.8,0.6,0.7,2,3.1,11.4
97,Mike Conley,PG,35,TOT,62,61,30.2,3.8,9.1,0.418,1.9,5.2,0.374,1.9,3.9,0.477,0.525,1.9,2.3,0.83,0.5,2.2,2.8,6.8,1.1,0.2,1.5,2,11.4
97,Mike Conley,PG,35,UTA,43,42,29.7,3.6,8.7,0.408,1.8,5,0.362,1.8,3.8,0.469,0.511,1.8,2.2,0.813,0.4,2.1,2.5,7.7,1,0.2,1.7,2.2,10.7
97,Mike Conley,PG,35,MIN,19,19,31.3,4.3,9.8,0.439,2.3,5.7,0.398,2.1,4.2,0.494,0.553,2.1,2.4,0.867,0.8,2.6,3.4,4.9,1.3,0.2,1.2,1.6,12.9
98,Pat Connaughton,SG,30,MIL,58,32,24.5,2.8,7.2,0.389,1.8,5.5,0.335,0.9,1.7,0.567,0.518,0.5,0.7,0.659,0.8,4,4.8,1.3,0.6,0.2,0.6,1.2,7.9
99,Xavier Cooks,PF,27,WAS,4,0,3.3,0.3,0.3,1,0,0,,0.3,0.3,1,1,0,0,,0.5,0.5,1,0.3,0,0,0.5,0,0.5
100,Robert Covington,PF,32,LAC,44,0,16.3,2.2,5,0.445,1.2,3,0.392,1,2,0.523,0.562,0.7,0.9,0.763,0.6,2.8,3.4,1.2,0.8,0.7,0.6,1.8,6.2
101,Torrey Craig,SF,32,PHO,73,59,25.2,2.8,6.3,0.439,1.3,3.3,0.389,1.5,3.1,0.493,0.54,0.4,0.6,0.721,1.9,3.6,5.5,1.5,0.6,0.8,1,2.3,7.3
102,Jae Crowder,SF,32,MIL,12,0,18.2,1.9,4,0.479,1.1,2.8,0.382,0.8,1.2,0.714,0.615,0.8,0.9,0.818,1,3.1,4.1,1.3,0.4,0.3,0.4,1.4,5.7
103,Jarrett Culver,SG,23,ATL,10,1,13.7,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,0.407,0.9,1.3,0.692,1,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4
104,Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3,3.6,0.837,1,5.2,6.2,6,0.8,0.6,3.3,2.8,19.9
105,Seth Curry,SG,32,BRK,56,7,20.6,3.5,7.6,0.461,1.6,4,0.405,1.9,3.7,0.522,0.567,0.9,0.9,0.98,0.2,1.5,1.7,1.7,0.6,0.1,0.9,1.6,9.5
106,Stephen Curry,PG,34,GSW,51,51,34.9,10,20.2,0.497,4.9,11.5,0.428,5.1,8.7,0.587,0.618,4.6,5.1,0.911,0.7,5.5,6.3,6.4,1,0.3,3.3,2.2,29.6
107,Dyson Daniels,PG,19,NOP,54,11,18.3,1.5,3.6,0.41,0.4,1.5,0.3,1,2.1,0.487,0.472,0.4,0.7,0.622,0.6,2.6,3.2,2.4,0.8,0.2,1,1.8,3.8
108,Anthony Davis,C,29,LAL,50,48,33.9,9.7,17.2,0.567,0.4,1.4,0.271,9.4,15.8,0.593,0.578,6.2,7.9,0.786,3.4,9,12.4,2.6,1,2,2.2,2.7,26.1
109,Johnny Davis,SG,20,WAS,22,0,9.7,1.3,3.2,0.4,0.2,1,0.227,1,2.2,0.479,0.436,0.3,0.6,0.538,0.3,1.1,1.5,0.4,0.1,0.1,0.3,1.3,3.1
110,Terence Davis,SG,25,SAC,59,4,13,2.4,5.5,0.432,1.4,3.6,0.376,1,1.8,0.541,0.556,0.5,0.7,0.821,0.3,1.9,2.3,1.1,0.7,0.2,0.8,1.6,6.6
111,JD Davison,PG,20,BOS,10,0,2.7,0.5,1.3,0.385,0.1,0.4,0.25,0.4,0.9,0.444,0.423,0,0,,0.1,0.5,0.6,0.6,0.2,0,0.2,0.4,1.1
112,Darius Days,PF,23,HOU,4,0,6.3,1.3,3,0.417,0.8,2.5,0.3,0.5,0.5,1,0.542,0.5,0.5,1,0.3,1.3,1.5,0.3,0,0.3,0,0.5,3.8
113,Dewayne Dedmon,C,33,TOT,36,1,10.9,1.9,3.9,0.496,0.3,1.1,0.289,1.6,2.8,0.574,0.536,0.9,1.3,0.696,0.9,2.5,3.4,0.5,0.2,0.5,0.6,1.9,5
113,Dewayne Dedmon,C,33,MIA,30,0,11.7,2.1,4.3,0.496,0.4,1.2,0.297,1.8,3.1,0.576,0.539,1.1,1.5,0.727,0.9,2.7,3.6,0.5,0.2,0.5,0.6,2,5.7
113,Dewayne Dedmon,C,33,PHI,6,1,7.2,0.8,1.7,0.5,0,0.2,0,0.8,1.5,0.556,0.5,0,0.3,0,0.7,1.5,2.2,0.5,0.2,0.8,0.5,1.2,1.7
114,Matthew Dellavedova,PG,32,SAC,32,0,6.7,0.5,1.6,0.34,0.3,0.8,0.333,0.3,0.7,0.348,0.43,0.1,0.2,0.571,0,0.4,0.4,1.3,0.2,0,0.3,0.6,1.5
115,DeMar DeRozan,SF,33,CHI,69,69,36.5,9,17.7,0.51,0.6,1.8,0.339,8.4,15.8,0.53,0.528,6.3,7.2,0.867,0.5,4.3,4.7,5.1,1.1,0.5,2.1,2.6,24.9
116,Moussa Diabaté,PF,21,LAC,20,1,9.2,1.2,2.2,0.523,0.1,0.1,0.5,1.1,2.1,0.524,0.534,0.5,0.8,0.625,1.5,0.8,2.3,0.2,0.4,0.4,0.5,0.8,2.9
117,Mamadi Diakite,PF,26,CLE,20,2,6.8,0.8,1.9,0.405,0.3,0.9,0.294,0.5,1,0.5,0.473,0,0,,0.3,0.7,1,0.2,0.1,0.4,0.4,1,1.8
118,Hamidou Diallo,SG,24,DET,56,0,17.8,3.8,6.7,0.573,0.1,0.4,0.238,3.8,6.3,0.593,0.58,1.6,2.6,0.588,1,2.4,3.5,1,0.9,0.3,1.3,2.2,9.3
119,Gorgui Dieng,C,33,SAS,27,1,10.3,1.1,3.3,0.352,0.5,2.1,0.241,0.6,1.1,0.567,0.432,0.2,0.3,0.75,0.9,1.9,2.8,1.5,0.1,0.4,0.9,1.6,3
120,Ousmane Dieng,SF,19,OKC,34,0,14.8,1.9,4.7,0.415,0.7,2.5,0.279,1.2,2.1,0.575,0.491,0.3,0.5,0.588,0.5,2.3,2.8,1,0.4,0.2,0.6,1.1,4.9
121,Spencer Dinwiddie,PG,29,TOT,74,74,34.5,5.9,13.3,0.444,2.4,6.3,0.378,3.5,7,0.502,0.533,3.4,4.2,0.809,0.4,3,3.4,6.1,0.9,0.3,1.9,2.4,17.6
121,Spencer Dinwiddie,PG,29,DAL,53,53,34.1,6,13.1,0.455,2.6,6.4,0.405,3.4,6.7,0.504,0.555,3.2,3.9,0.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7
121,Spencer Dinwiddie,PG,29,BRK,21,21,35.4,5.7,13.8,0.415,1.8,5.8,0.303,4,8,0.497,0.479,4,5.1,0.785,0.4,3.7,4.1,8.4,1.1,0.3,2.3,2.5,17.2
122,Donte DiVincenzo,SG,26,GSW,67,32,26.3,3.1,7.4,0.425,2.1,5.2,0.396,1.1,2.2,0.493,0.564,0.8,1,0.844,1,3.3,4.4,3.3,1.3,0.1,1.5,1.9,9.2
123,Luka Dončić,PG,23,DAL,62,62,36.3,11,22.1,0.496,2.9,8.2,0.349,8.1,14,0.582,0.56,8,10.7,0.74,0.9,7.8,8.7,8.1,1.4,0.5,3.7,2.5,32.8
124,Tyler Dorsey,SG,26,DAL,3,0,2.7,1.3,1.7,0.8,0.3,0.7,0.5,1,1,1,0.9,0,0,,0.3,0.3,0.7,0,0,0,0,0,3
